Daily LE,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,BQA,Cloud Cover,NDVI,EVI,SAVI,VARI,NDWI,Date Epoch
3743.284895994,0.1293119937181472,0.1079686433076858,0.0941977500915527,0.0801520571112632,0.2569446265697479,0.1569453626871109,0.0877245217561721,0.09031992405653,0.0011297563323751,294.060546875,292.9983215332031,2720.0,0.15,0.5244565669645698,0.4762257996675653,0.3167959679658477,0.211591544289266,-0.4634783133428951,1476835200
3511.882929007,0.1252624988555908,0.1045188009738922,0.0905296057462692,0.0775647908449173,0.2422979474067688,0.1500717103481292,0.0844793543219566,0.0849275216460228,0.0010563858086243,296.0553894042969,294.16357421875,2720.0,4.15,0.515012025040035,0.4458051688430588,0.3013915907066399,0.2039275413068272,-0.4559969276062751,1477440000
2136.691500295,0.1706039905548095,0.1478295177221298,0.1323169618844986,0.1137359961867332,0.3137968182563782,0.1870370805263519,0.1153383925557136,0.1230776235461235,0.0302068572491407,284.93878173828125,283.15008544921875,6816.0,11.01,0.4679426123822491,0.5635570644985836,0.3235370527398984,0.189170381649488,-0.4068017273857146,1478217600
2517.055224181,0.1533524543046951,0.1278175860643386,0.1084067896008491,0.0909657254815101,0.254131019115448,0.1430382281541824,0.0809380039572715,0.1000264808535575,0.0123913874849677,289.73883056640625,288.49395751953125,2720.0,35.87,0.4728102950507405,0.4848643730975046,0.289609375513133,0.2437437135175771,-0.4019559505547596,1478822400
2055.056844531,0.1290832906961441,0.1023928374052047,0.0810245871543884,0.0598946437239646,0.2269085794687271,0.1063646376132965,0.0493296720087528,0.071253977715969,0.0010723763843998,284.9736328125,284.4530944824219,2720.0,29.63,0.5823293542016866,0.5102278507150969,0.3184035045008831,0.5484537099261737,-0.4737521258724576,1480204800
604.318090559,0.5066448450088501,0.5054806470870972,0.4866867363452911,0.5119670033454895,0.5877662301063538,0.5051895976066589,0.4457310438156128,0.4586206674575805,0.0209975838661193,271.6010131835937,271.26910400390625,6896.0,49.66,0.0689251033388757,0.2181992557787371,0.0710736251293357,-0.0512604344789623,-0.0940753080098752,1480982400
336.775771751,0.1432729810476303,0.1189532652497291,0.0957855358719825,0.0908362567424774,0.1911870837211609,0.1534701883792877,0.0933109000325203,0.0947615504264831,0.0030719554051756,286.96533203125,284.8647766113281,2720.0,56.19,0.3558245456340939,0.2972282936294745,0.1924830534837779,0.0731400448960375,-0.3324412899893872,1481587200
485.765599547,0.1532482653856277,0.1273667216300964,0.0974031910300254,0.0931040719151496,0.1859476119279861,0.1530311405658722,0.0904551222920417,0.095796450972557,0.0018672839505597,284.52496337890625,283.97467041015625,2720.0,13.59,0.3327109112340167,0.2940611797008892,0.1787626070355765,0.0680880940412386,-0.3124904534365538,1482364800
398.467509143,0.1440498828887939,0.1172034293413162,0.0893143936991691,0.0834498777985572,0.1615565419197082,0.1449621319770813,0.0903135389089584,0.0863604173064231,0.0014769805129617,284.48992919921875,284.4872131347656,2720.0,0.41,0.3187943573518046,0.2493094470350991,0.1572603847172647,0.1055512420798551,-0.2879653956020206,1482969600
2195.533134513,0.1488756835460662,0.1327001750469207,0.1133117079734802,0.1035066843032836,0.3005211651325226,0.1708954423666,0.1022048890590667,0.1133394017815589,0.0015787691809237,293.5191650390625,290.842529296875,2720.0,22.89,0.4876259918823774,0.5317185654391462,0.3268944882929106,0.1165624283668002,-0.4523793766163397,1475452800
4261.502792257,0.121412806212902,0.1006148383021354,0.0876052975654602,0.0743361338973045,0.2528928816318512,0.1420665383338928,0.0817783996462822,0.0821534022688865,0.0009230661671608,299.93798828125,298.3196105957031,2720.0,40.73,0.5456629432625526,0.4727233154267271,0.3237738480806227,0.2163688374699129,-0.4854286870374434,1476057600
3855.475241184,0.124823473393917,0.1038160026073455,0.0879382565617561,0.0700452625751495,0.2655552327632904,0.1371592581272125,0.0740757659077644,0.0796940475702285,0.0014350975397974,294.0457763671875,292.9606628417969,2720.0,0.15,0.582567585280161,0.5387690343375735,0.3509631180429487,0.3303270139187958,-0.5024618035841979,1476835200
3410.49745141,0.1196924299001693,0.0965478345751762,0.0784291103482246,0.0619750022888183,0.2172326445579528,0.1104409992694854,0.0591899678111076,0.070842295885086,0.0009603500948287,295.6596984863281,293.9163818359375,2720.0,4.15,0.5560651508743946,0.4487350498458667,0.2988759983890381,0.375182500352514,-0.4694673284807324,1477440000
1977.6563823,0.1717972755432129,0.1487159579992294,0.1296235769987106,0.1126790940761566,0.3119898438453674,0.1726155132055282,0.1075991615653038,0.1220548152923584,0.0292181447148323,284.4656982421875,282.25030517578125,6848.0,11.01,0.4693320654548134,0.5709635467190982,0.3233223399131736,0.181056502207309,-0.4129545395112561,1478217600
2439.587431173,0.1483386009931564,0.1237706840038299,0.1017813310027122,0.0843402668833732,0.246860921382904,0.1240571960806846,0.0706954076886177,0.0945828631520271,0.0109588559716939,288.7679138183594,287.4483947753906,2720.0,35.87,0.49070069872113,0.4927123491528795,0.293287576089461,0.2797242740062314,-0.4161273895733277,1478822400
1731.082824059,0.1268590986728668,0.1003672257065773,0.0774499773979187,0.054016388952732,0.2338194996118545,0.0917087122797966,0.0413066484034061,0.0675602108240127,0.0020256070420145,284.9521789550781,284.3507385253906,2720.0,29.63,0.6246723143378174,0.5582812660945812,0.3423361005806393,0.7535124109499249,-0.5023606031536018,1480204800
