Daily LE,Date,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,BQA,Cloud Cover,NDVI,EVI,SAVI,VARI,NDWI
5156.32,20131207,0.4978036880493164,0.4858669340610504,0.454755574464798,0.4522613286972046,0.5662397146224976,0.1891622841358184,0.1869798153638839,0.4544438123703003,0.1356472223997116,238.9208526611328,239.945053100586,6896.0,72.9,0.1119079716931775,0.4481651755756166,0.1125897012979162,0.0059224645627256,-0.1091916303133575
5156.32,20131207,0.4967650175094604,0.4849187731742859,0.4538251161575317,0.4514025151729584,0.5650866031646729,0.1887178122997284,0.1866508275270462,0.4536028504371643,0.1353763043880462,238.9022216796875,239.9254302978516,6896.0,78.74,0.1118399458890752,0.4464425947388425,0.1124479760029545,0.005763858975518,-0.1091963954258509
6282.3,20131223,0.4536841213703155,0.4510796070098877,0.4281825125217438,0.4325988590717315,0.5867183208465576,0.4459385275840759,0.3313398063182831,0.4289751946926117,0.0018118330044671,289.4153137207031,287.3030700683594,2800.0,50.47,0.1511987287285598,0.4820967233474832,0.1521599279715063,-0.0107794179370364,-0.1562081763187223
6282.3,20131223,0.4645408093929291,0.4620781242847442,0.4396881759166717,0.4444779455661773,0.5980445742607117,0.4549386501312256,0.3369790315628052,0.4380840361118316,0.0018300525844097,289.3973083496094,287.3030700683594,2800.0,81.24,0.1473029366502644,0.4803001781387942,0.1493332772008104,-0.0113477987559488,-0.1525984395471488
6850.13,20140209,0.1524571031332016,0.1299611181020736,0.1155965030193328,0.0870313048362732,0.3324014842510223,0.1510042399168014,0.0712841227650642,0.1041610538959503,0.0290572978556156,281.60302734375,278.7794189453125,6816.0,35.13,0.5850047630960984,0.6971687069949648,0.4003068777735081,0.3930989326739093,-0.4839418644549696
6850.13,20140209,0.1529129594564438,0.1303705126047134,0.1159762144088745,0.087398961186409,0.3331586420536041,0.151480570435524,0.0714548677206039,0.10454061627388,0.0292347371578216,281.5863952636719,278.7794189453125,7072.0,39.93,0.5843662769947344,0.6983606087569785,0.4004524214490452,0.3914442181064079,-0.4835572757708538
7482.69,20140225,0.3505575358867645,0.337911993265152,0.3152355551719665,0.3082234561443329,0.4860218465328216,0.3232697546482086,0.223483994603157,0.3159961998462677,0.0025433676782995,277.1709289550781,275.2607727050781,2800.0,69.16,0.2238582838188473,0.5549106319273676,0.2060641711668317,0.0245567230065685,-0.213147848615792
5431.26,20150118,0.3765928149223327,0.3602000176906585,0.3299221396446228,0.3216792941093445,0.4653135240077972,0.3018268644809723,0.2380900532007217,0.32708939909935,0.010355775244534,275.2843322753906,272.0771789550781,2800.0,71.64,0.1825102168557187,0.5174970262173267,0.1674067965374371,0.0282869096747543,-0.1702531595996819
4926.13,20150401,0.1566556394100189,0.1344075053930282,0.1126808226108551,0.0891415029764175,0.225237488746643,0.1094776839017868,0.0637398958206176,0.1011098027229309,0.0280584637075662,282.9049377441406,279.70611572265625,6896.0,49.88,0.4329041995595996,0.452428582144012,0.2506744166170238,0.3491712885477258,-0.3330883895685353
4926.13,20150401,0.1584010124206543,0.1353197246789932,0.1129675805568695,0.0889559984207153,0.2276951819658279,0.1096989884972572,0.0633352622389793,0.1027846559882164,0.0282607488334178,282.9049377441406,279.7093200683594,6896.0,48.11,0.4381451645806295,0.4646115423766713,0.2548319041419439,0.3605134025503673,-0.3367776406184531
4975.32,20150503,0.216126412153244,0.207510620355606,0.1754587739706039,0.1468207389116287,0.388171374797821,0.2535969913005829,0.1533232182264328,0.1930425763130188,0.0068817934952676,282.680419921875,281.3404846191406,2800.0,64.71,0.4511293338751308,0.8465281144095572,0.3497861955022769,0.2495278505221364,-0.3773974853758451
4975.32,20150503,0.2272088974714279,0.2187814712524414,0.1741299331188202,0.1490134447813034,0.4002059698104858,0.2504464983940124,0.1487095057964325,0.2022305577993393,0.0066590416245162,282.59814453125,281.31182861328125,2800.0,61.33,0.4573627922747101,0.9610601553226692,0.3591134345244341,0.2406672045798102,-0.3936303399084088
3028.91,20150519,0.1685235202312469,0.1390756368637085,0.1105024442076683,0.0846991017460823,0.2278566211462021,0.1119602546095848,0.0511110201478004,0.098577506840229,0.0016327479388564,288.0749816894531,285.17645263671875,3008.0,78.11,0.4580223906169075,0.5164532249891335,0.2642726806917659,0.4597403031849338,-0.3468332577872555
2104.74,20150722,0.4866066575050354,0.4767079353332519,0.4539529383182525,0.4649079144001007,0.5589156150817871,0.4446879625320434,0.3105723857879638,0.4493657350540161,0.0024143161717802,286.86004638671875,286.56170654296875,2800.0,53.98,0.0918202189876018,0.3040141793707126,0.0925379798213738,-0.0247764419301721,-0.1036291199002984
4950.17,20150807,0.1174656003713607,0.0927477702498436,0.0766420364379882,0.0558667592704296,0.2455844730138778,0.1644406616687774,0.0718326866626739,0.0677503272891044,0.0012302935356274,301.91455078125,300.1341552734375,2720.0,0.0,0.6293479456223285,0.5358187315857215,0.3550765900054433,0.5225035553774574,-0.5242971376354931
4950.17,20150807,0.1199151948094368,0.0945391878485679,0.0780690461397171,0.0568034350872039,0.2512481808662414,0.1673275232315063,0.0729595869779586,0.0689633637666702,0.0012274052714928,301.9330139160156,300.1561584472656,2720.0,0.0,0.6312083290886652,0.5505075497504089,0.3609510988037677,0.5272470773221405,-0.5258732933621808
4454.49,20150823,0.1359773874282837,0.1106341257691383,0.0926892012357711,0.0683691054582595,0.2799303233623504,0.1669874787330627,0.0720158070325851,0.0828509703278541,0.0009182291105389,301.6883239746094,299.6386413574219,2720.0,12.29,0.607411900216048,0.6147254751805058,0.3740917606149239,0.4823101799856054,-0.5024994928232034
4454.49,20150823,0.1383703649044037,0.1126226931810379,0.094265803694725,0.0695587173104286,0.2829308211803436,0.1702814549207687,0.073507584631443,0.0842869132757186,0.0009338478557765,301.6998596191406,299.6386413574219,2720.0,48.96,0.6053288979397635,0.6234481076076777,0.3754393940968426,0.4825430543059544,-0.5001768442337106
4265.77,20151026,0.1538351625204086,0.1278841495513916,0.1086244881153106,0.0767524987459182,0.3571071326732635,0.1887886971235275,0.0724823549389839,0.0953958481550216,0.0022231107577681,297.5818176269531,293.2992858886719,2720.0,58.89,0.6461874155248964,0.8164169245222327,0.4503160183205881,0.5543645236645665,-0.5335318313521926
4265.77,20151026,0.1543658822774887,0.1282702684402465,0.1089966148138046,0.0770725458860397,0.3578100502490997,0.1893366277217865,0.072767436504364,0.0957721918821334,0.002229823032394,297.5961608886719,293.3050537109375,2720.0,54.27,0.6455478026897655,0.8177916398178312,0.4504375825215577,0.5523301170614346,-0.5330117456694119
5216.67,20151111,0.1245556995272636,0.1014029383659362,0.0952639505267143,0.0597235895693302,0.3993412554264068,0.1882477104663849,0.0724839195609092,0.0798068568110466,0.0082218563184142,299.8793640136719,295.6683349609375,2720.0,0.39,0.7398032534166941,0.8514616728567125,0.5311700261392432,0.6632569770023055,-0.6147879182018012
5216.67,20151111,0.1246935799717903,0.1015274226665496,0.0956042632460594,0.0599336475133895,0.4000110328197479,0.1884663254022598,0.0726574808359146,0.0802259668707847,0.0082704881206154,299.88873291015625,295.67401123046875,2720.0,7.05,0.7393875825676266,0.8517630514167764,0.5314015363703122,0.6604386850071698,-0.6141997068897358
6469.79,20151127,0.1194171160459518,0.0960865467786789,0.0875283181667327,0.0552193559706211,0.3676499128341675,0.1795458495616912,0.0692176967859268,0.0734636336565017,0.0035825090017169,298.0163269042969,294.03717041015625,2720.0,5.46,0.7388348596402151,0.798387878183145,0.5078138921044196,0.6924170937354123,-0.6154107898602046
6469.79,20151127,0.1193585768342018,0.0960346162319183,0.0878182277083396,0.0552618689835071,0.3677057027816772,0.1794575154781341,0.069220907986164,0.0735499709844589,0.0035781024489551,298.0163269042969,294.03717041015625,2720.0,17.36,0.7386945351253242,0.7978506493500069,0.5077813836957753,0.6920188380807962,-0.6144297946592104
